open,high,low,close,volume,close_time
746.25,747.25,746.2,746.95,1045532,1609470060
746.95,747.55,746.8,747.05,351191,1609470120
747.05,747.05,746.3,746.3,139491,1609470180
746.3,746.55,746.1,746.1,330933,1609470240
746.1,746.35,746.1,746.3,126331,1609470300
746.3,746.3,746.15,746.15,13914,1609470360
746.15,746.8,746.15,746.5,516817,1609470420
746.5,746.5,745.85,745.85,9640,1609470480
745.85,745.85,745.3,745.3,16104,1609470540
745.3,746.7,745.3,746.7,280189,1609470600
746.7,747.1,746.7,747.1,60810,1609470660
747.1,747.6,746.9,747.2,488346,1609470720
747.2,747.2,746.05,746.15,519234,1609470780
746.15,746.25,745.95,746.2,30204,1609470840
746.2,746.25,746.05,746.05,101864,1609470900
746.05,746.85,746.05,746.85,222794,1609470960
746.85,747.25,746.2,746.25,162772,1609471020
746.25,746.7,746.2,746.5,29185,1609471080
746.5,746.55,746.2,746.25,101569,1609471140
746.25,746.3,746.2,746.3,31634,1609471200
746.3,746.35,746.3,746.3,2,1609471260
746.3,746.8,746.3,746.75,84530,1609471320
746.75,746.8,746.35,746.35,184954,1609471380
746.35,746.35,745.55,745.6,68889,1609471440
745.6,745.85,745.25,745.8,64818,1609471500
745.8,746.7,745.8,746.7,85960,1609471560
746.7,746.7,746.35,746.4,20947,1609471620
746.4,746.4,745.95,746.35,332464,1609471680
746.35,746.35,746.1,746.35,169955,1609471740
746.35,747.05,746.3,747,186203,1609471800
747,747.2,747,747.1,183269,1609471860
747.1,747.1,747.05,747.05,26896,1609471920
747.05,747.65,747,747.65,22588,1609471980
747.65,748.3,747.65,747.85,350146,1609472040
747.85,747.85,747.45,747.45,45924,1609472100
747.45,747.5,747.45,747.45,16697,1609472160
747.45,747.85,747.45,747.85,208889,1609472220
747.85,747.85,747.4,747.45,36641,1609472280
747.45,747.45,746.65,746.65,140614,1609472340
746.65,746.85,746.6,746.85,127986,1609472400
746.85,748.25,746.8,748.2,167584,1609472460
748.2,749,748.2,748.95,492301,1609472520
748.95,749,748.2,748.25,96888,1609472580
748.25,748.5,747.85,748,51128,1609472640
748,748,747.85,748,46628,1609472700
748,748,747.95,747.95,138631,1609472760
747.95,748.7,747.95,748.1,26754,1609472820
748.1,748.1,748.05,748.05,22424,1609472880
748.05,748.55,748.05,748.5,69428,1609472940
748.5,748.5,747.95,748,47863,1609473000
748,748,747.25,747.3,246736,1609473060
747.3,747.45,747.15,747.45,73235,1609473120
747.45,747.5,747.3,747.35,12883,1609473180
747.35,747.8,747.3,747.8,96414,1609473240
747.8,748,747.5,748,100382,1609473300
748,748,747.95,748,138674,1609473360
748,748,747.7,747.75,476837,1609473420
747.75,747.75,747.35,747.35,22417,1609473480
747.35,747.4,747.25,747.3,51343,1609473540
747.3,747.3,746.55,746.75,117650,1609473600
746.75,748.1,746.7,748.1,325102,1609473660
748.1,748.1,747.5,747.8,126476,1609473720
747.8,747.8,747.05,747.15,39396,1609473780
747.15,747.15,747.05,747.1,79848,1609473840
747.1,747.1,746.75,746.8,25852,1609473900
746.8,746.8,746.2,746.4,156844,1609473960
746.4,746.45,746.4,746.45,5306,1609474020
746.45,746.75,745.4,746.75,520983,1609474080
746.75,746.75,746.4,746.4,109627,1609474140
746.4,746.4,746.15,746.15,14793,1609474200
746.15,746.4,746,746.15,145081,1609474260
746.15,746.4,746.05,746.4,67481,1609474320
746.4,746.4,746,746.05,91231,1609474380
746.05,746.25,746,746.2,4321,1609474440
746.2,746.25,746.15,746.2,106739,1609474500
746.2,747.2,746.2,747.15,169214,1609474560
747.15,748.3,747.15,748.25,72428,1609474620
748.25,748.7,748.25,748.35,159220,1609474680
748.35,748.65,748.3,748.65,24525,1609474740
748.65,748.65,748.4,748.45,144706,1609474800
748.45,748.5,748.2,748.2,128419,1609474860
748.2,748.2,748.15,748.2,30480,1609474920
748.2,748.2,747.65,747.65,133787,1609474980
747.65,747.7,746.9,746.9,49541,1609475040
746.9,747.3,746.9,747.3,43990,1609475100
747.3,747.75,747.25,747.65,8162,1609475160
747.65,747.75,747.5,747.5,92200,1609475220
747.5,747.8,747.2,747.25,281196,1609475280
747.25,747.4,747.2,747.35,33129,1609475340
747.35,747.45,747.35,747.45,28898,1609475400
747.45,747.75,747.4,747.75,41691,1609475460
747.75,747.75,746.15,746.2,216421,1609475520
746.2,746.6,746,746,248862,1609475580
746,746.2,743.8,744.45,725746,1609475640
744.45,745,744.35,745,178175,1609475700
745,745.25,744.9,744.9,165994,1609475760
744.9,744.9,744.25,744.25,86388,1609475820
744.25,744.65,744.2,744.4,223827,1609475880
744.4,744.45,744.35,744.4,19419,1609475940
744.4,744.6,744.4,744.6,80597,1609476000
744.6,744.6,744,744.1,343353,1609476060
744.1,744.1,742.05,742.45,2310240,1609476120
742.45,743.65,741.85,743.65,746407,1609476180
743.65,744.05,743.35,743.6,57763,1609476240
743.6,743.6,743.1,743.35,191263,1609476300
743.35,744.2,743.35,744.2,149519,1609476360
744.2,744.85,744.2,744.85,266925,1609476420
744.85,744.85,744.25,744.75,99973,1609476480
744.75,744.8,744.75,744.8,38021,1609476540
744.8,744.8,744.3,744.4,266783,1609476600
744.4,744.95,744.35,744.95,26651,1609476660
744.95,744.95,744.85,744.85,128987,1609476720
744.85,744.9,744.8,744.8,2680,1609476780
744.8,744.9,744.65,744.9,13084,1609476840
744.9,744.95,744.9,744.95,260460,1609476900
744.95,744.95,744.9,744.9,16957,1609476960
744.9,744.9,744.05,744.05,21375,1609477020
744.05,744.2,743.4,744.2,1075314,1609477080
744.2,744.75,744.15,744.75,20897,1609477140
744.75,744.75,744.35,744.35,102383,1609477200
744.35,744.9,744.35,744.55,616581,1609477260
744.55,744.95,744.35,744.85,470470,1609477320
744.85,744.85,743.8,743.85,342789,1609477380
743.85,743.85,742.8,742.85,372700,1609477440
742.85,743.95,742.75,743.65,366107,1609477500
743.65,743.65,743.55,743.55,36520,1609477560
743.55,743.9,743.55,743.9,95947,1609477620
743.9,743.9,743,743.35,59218,1609477680
743.35,743.45,742.4,742.8,113667,1609477740
742.8,743,742.45,742.5,77121,1609477800
742.5,742.75,742.4,742.4,37466,1609477860
742.4,742.7,741.8,742.7,243255,1609477920
742.7,743.25,742.7,743.2,46188,1609477980
743.2,743.25,743.2,743.25,37597,1609478040
743.25,743.9,743.25,743.9,50151,1609478100
743.9,744.7,743.9,744.7,76378,1609478160
744.7,744.7,744.05,744.05,37648,1609478220
744.05,744.3,744,744.25,508,1609478280
744.25,744.45,743.65,743.65,90662,1609478340
743.65,744.05,743.65,744,83761,1609478400
744,744,743,743,133137,1609478460
743,743.2,743,743.2,47323,1609478520
743.2,743.4,743.2,743.35,74169,1609478580
743.35,743.55,743.35,743.5,1522,1609478640
743.5,743.7,743.4,743.4,5726,1609478700
743.4,743.65,743.4,743.65,82425,1609478760
743.65,743.9,743.65,743.85,11691,1609478820
743.85,743.85,743.1,743.1,17081,1609478880
743.1,743.4,743.05,743.4,2224,1609478940
743.4,743.55,743.05,743.05,73945,1609479000
743.05,743.2,743,743.05,174969,1609479060
743.05,743.45,743.05,743.4,1438,1609479120
743.4,743.45,743,743,12892,1609479180
743,743,742.55,742.55,6028,1609479240
742.55,742.55,742.4,742.45,512158,1609479300
742.45,742.45,742.1,742.1,12882,1609479360
742.1,742.1,742,742,60893,1609479420
742,742.05,741.9,742,14383,1609479480
742,742.95,742,742.95,163334,1609479540
742.95,743.15,742.9,743.15,184547,1609479600
743.15,743.15,743.1,743.1,294,1609479660
743.1,743.15,742.6,742.6,27689,1609479720
742.6,743.05,742.6,742.9,35584,1609479780
742.9,743.05,742.9,743.05,1628,1609479840
743.05,743.05,742.9,742.9,131392,1609479900
742.9,743.05,742.9,742.95,1048,1609479960
742.95,743.2,742.9,743.15,30958,1609480020
743.15,743.2,743.15,743.2,8513,1609480080
743.2,743.95,743.2,743.95,308160,1609480140
743.95,743.95,743.6,743.6,71255,1609480200
743.6,743.75,743.5,743.5,39572,1609480260
743.5,743.5,743.1,743.1,8154,1609480320
743.1,743.1,742.7,742.7,5977,1609480380
742.7,742.7,742.4,742.4,41694,1609480440
742.4,742.45,742.4,742.45,10453,1609480500
742.45,742.45,742.4,742.45,10160,1609480560
742.45,742.45,742.4,742.4,7721,1609480620
742.4,742.45,742.4,742.4,1757,1609480680
742.4,742.75,742.4,742.75,726297,1609480740
742.75,742.75,742.7,742.7,13952,1609480800
742.7,743.2,742.7,743.2,128806,1609480860
743.2,743.65,743.15,743.6,157913,1609480920
743.6,743.65,743.6,743.65,5,1609480980
743.65,744,743.6,744,582371,1609481040
744,744.6,743.95,744.55,196211,1609481100
744.55,744.65,744.55,744.6,98098,1609481160
744.6,744.65,744.3,744.35,30101,1609481220
744.35,744.6,744,744.2,138339,1609481280
744.2,744.2,744.05,744.05,814,1609481340
744.05,744.05,744,744.05,4463,1609481400
744.05,744.5,744,744.25,34341,1609481460
744.25,744.4,744.25,744.4,3103,1609481520
744.4,744.4,744.35,744.4,105465,1609481580
744.4,744.4,744,744.05,112944,1609481640
744.05,744.05,744,744.05,118951,1609481700
744.05,744.75,744.05,744.25,91568,1609481760
744.25,744.25,744.05,744.05,2185,1609481820
744.05,744.05,743,743.05,149700,1609481880
743.05,743.6,743,743,83990,1609481940
743,743,742.4,742.45,425405,1609482000
742.45,742.75,742.4,742.75,143649,1609482060
742.75,742.75,742.4,742.45,105561,1609482120
742.45,742.65,742.05,742.05,132639,1609482180
742.05,742.1,741.25,741.45,689535,1609482240
741.45,742.05,741.45,741.8,57279,1609482300
741.8,742.05,741.3,741.55,260417,1609482360
741.55,741.6,739.25,740.25,1481708,1609482420
740.25,740.4,739.7,739.95,478207,1609482480
739.95,740.05,739.55,739.6,23250,1609482540
739.6,739.95,739.25,739.95,269312,1609482600
739.95,740.3,739.4,740.3,337362,1609482660
740.3,740.3,740.25,740.3,69392,1609482720
740.3,740.3,740.05,740.05,138517,1609482780
740.05,740.05,739.25,739.25,188992,1609482840
739.25,740.35,739.25,740.25,310173,1609482900
740.25,740.75,740.25,740.75,248621,1609482960
740.75,740.8,740.75,740.8,79731,1609483020
740.8,740.85,740.8,740.85,29323,1609483080
740.85,740.85,740.4,740.8,1327831,1609483140
740.8,740.8,740.4,740.65,233196,1609483200
740.65,741,739.8,739.8,219706,1609483260
739.8,739.85,739.8,739.85,13143,1609483320
739.85,740.65,739.85,740.6,179229,1609483380
740.6,741.1,740.6,741.1,54139,1609483440
741.1,741.4,741.05,741.4,568153,1609483500
741.4,741.4,741.35,741.4,16113,1609483560
741.4,741.45,741.4,741.45,5,1609483620
741.45,741.45,741.4,741.45,76364,1609483680
741.45,741.45,740.95,741.2,129974,1609483740
741.2,741.45,741.2,741.4,10,1609483800
741.4,741.45,741.4,741.4,1974,1609483860
741.4,741.45,741.4,741.4,1252,1609483920
741.4,741.4,741.4,741.4,28,1609483980
741.4,741.45,741.2,741.2,22039,1609484040
741.2,741.25,740.45,740.45,40158,1609484100
740.45,740.6,740.4,740.6,7972,1609484160
740.6,740.65,740.3,740.5,87436,1609484220
740.5,741.15,740.45,741.15,55803,1609484280
741.15,741.4,741.15,741.4,590,1609484340
741.4,741.5,741.4,741.5,28000,1609484400
741.5,741.65,741.5,741.6,60338,1609484460
741.6,741.6,741.6,741.6,120,1609484520
741.6,742.05,741.6,742.05,57515,1609484580
742.05,742.05,741.95,741.95,81230,1609484640
741.95,742.05,741.9,742,1212,1609484700
742,742.05,742,742,854,1609484760
742,742,741.3,741.35,93855,1609484820
741.35,741.35,740.25,740.25,55031,1609484880
740.25,740.25,738.25,739.05,620500,1609484940
739.05,739.05,738.6,738.6,212846,1609485000
738.6,738.65,736.1,737.4,2337340,1609485060
737.4,738.95,737.4,738.95,603236,1609485120
738.95,739.25,737,737.45,859560,1609485180
737.45,737.8,737.4,737.7,278675,1609485240
737.7,737.7,736.55,736.6,258651,1609485300
736.6,738.1,736.55,738.1,208516,1609485360
738.1,738.2,737.75,738.2,155637,1609485420
738.2,739.5,738.2,739.5,423617,1609485480
739.5,740.2,739.45,740.1,55729,1609485540
740.1,740.15,739.4,739.95,75185,1609485600
739.95,739.95,738.9,738.9,485867,1609485660
738.9,738.9,737.5,737.5,580491,1609485720
737.5,737.95,737.5,737.9,112525,1609485780
737.9,738.35,737.9,738.3,96981,1609485840
738.3,739.2,738.3,738.85,280429,1609485900
738.85,739.2,738.85,739.2,6928,1609485960
739.2,739.2,738.75,738.75,160523,1609486020
738.75,738.75,736.85,737.15,202041,1609486080
737.15,738.15,737.15,738.15,193366,1609486140
738.15,738.15,736.85,736.85,289101,1609486200
736.85,736.9,736.5,736.5,119564,1609486260
736.5,736.8,736.5,736.8,153184,1609486320
736.8,737.6,736.75,737.6,45630,1609486380
737.6,738.45,737.6,738.4,17649,1609486440
738.4,738.45,738.4,738.4,16590,1609486500
738.4,738.7,738.4,738.65,77023,1609486560
738.65,738.7,738.65,738.7,25802,1609486620
738.7,738.75,738.65,738.65,42079,1609486680
738.65,738.8,738.6,738.75,80228,1609486740
738.75,738.85,738.75,738.85,16390,1609486800
738.85,738.85,738.8,738.85,15052,1609486860
738.85,738.95,738.8,738.95,198369,1609486920
738.95,739,738.9,738.95,95177,1609486980
738.95,739,738.95,739,4526,1609487040
739,739,738.6,738.65,197607,1609487100
738.65,738.65,738.55,738.6,63008,1609487160
738.6,738.6,737.9,737.9,65618,1609487220
737.9,737.95,737.9,737.9,809,1609487280
737.9,737.9,737.5,737.5,24611,1609487340
737.5,738,737.5,738,282127,1609487400
738,738.85,737.95,738.85,308361,1609487460
738.85,739,738.25,738.25,167623,1609487520
738.25,738.4,738.25,738.4,266084,1609487580
738.4,738.4,738.35,738.4,7311,1609487640
738.4,738.4,738.35,738.35,21757,1609487700
738.35,738.85,738.35,738.85,156487,1609487760
738.85,738.85,738.8,738.8,20279,1609487820
738.8,738.85,738.35,738.35,281935,1609487880
738.35,738.7,738.35,738.5,215252,1609487940
738.5,738.55,738.35,738.4,21669,1609488000
738.4,738.85,738.4,738.8,161313,1609488060
738.8,739.1,738.8,739.05,150123,1609488120
739.05,739.65,739.05,739.35,345797,1609488180
739.35,739.55,739.35,739.55,250587,1609488240
739.55,739.6,738.4,738.65,674444,1609488300
738.65,738.7,738.05,738.4,174343,1609488360
738.4,738.4,737.25,737.3,604435,1609488420
737.3,737.3,734.65,735.55,2140589,1609488480
735.55,735.95,734.9,735.05,1284131,1609488540
735.05,736,735,735.95,223306,1609488600
735.95,736.3,735.6,736.3,283544,1609488660
736.3,736.35,734.15,735,1436045,1609488720
735,735.25,734.35,735.2,380214,1609488780
735.2,735.35,734.95,735,39340,1609488840
735,735.05,733.5,734.25,352866,1609488900
734.25,734.35,733.1,733.1,1450733,1609488960
733.1,733.15,732,733.05,1609871,1609489020
733.05,733.7,733,733.15,379107,1609489080
733.15,733.15,732.4,732.5,362561,1609489140
732.5,732.5,730.8,731.65,1304716,1609489200
731.65,731.65,730.9,731.5,573243,1609489260
731.5,731.55,728.2,728.2,2374906,1609489320
728.2,730.7,726,729,3899273,1609489380
729,730.3,729,729.55,1797509,1609489440
729.55,730.4,729.45,730.35,2124032,1609489500
730.35,730.4,730.05,730.05,624684,1609489560
730.05,730.4,729.75,730.35,143672,1609489620
730.35,731.8,730.35,731.8,775015,1609489680
731.8,732.05,731.3,731.45,380320,1609489740
731.45,731.45,731.3,731.35,147079,1609489800
731.35,731.35,731,731.3,188578,1609489860
731.3,731.8,731.25,731.8,346192,1609489920
731.8,733.2,731.8,733.2,513912,1609489980
733.2,734.05,733.15,734.05,324418,1609490040
734.05,734.15,733.75,733.8,326570,1609490100
733.8,733.8,733.6,733.6,270838,1609490160
733.6,733.65,732.55,732.8,648172,1609490220
732.8,733.15,732.75,733,540237,1609490280
733,733,732.45,732.6,279310,1609490340
732.6,733.1,732.55,733.1,159237,1609490400
733.1,733.25,733.05,733.25,242031,1609490460
733.25,733.25,731.35,731.95,617944,1609490520
731.95,731.95,730.85,730.85,963777,1609490580
730.85,730.9,728.2,728.55,1659818,1609490640
728.55,729.55,726.9,727.25,3499421,1609490700
727.25,727.85,726.95,727.85,1869533,1609490760
727.85,729.9,727.8,729.5,1265257,1609490820
729.5,729.55,728.85,729.25,465906,1609490880
729.25,730,729.25,729.95,103120,1609490940
729.95,730,729.75,729.8,122119,1609491000
729.8,730.2,729.75,730.2,116813,1609491060
730.2,730.85,730.2,730.8,150933,1609491120
730.8,730.85,730.4,730.5,479638,1609491180
730.5,730.5,730.4,730.4,338541,1609491240
730.4,730.45,730.4,730.4,31760,1609491300
730.4,731.6,730.4,731.6,479119,1609491360
731.6,732.55,731.6,731.75,874260,1609491420
731.75,731.75,731.7,731.75,52889,1609491480
731.75,731.75,731.05,731.05,80857,1609491540
731.05,731.65,730.95,730.95,548562,1609491600
730.95,730.95,730,730.65,306725,1609491660
730.65,731.45,730.45,731.45,152680,1609491720
731.45,732.6,731.45,732.6,143946,1609491780
732.6,732.6,732.35,732.4,237324,1609491840
732.4,732.4,732.35,732.4,14030,1609491900
732.4,732.6,732.35,732.55,42038,1609491960
732.55,732.7,732.55,732.65,27982,1609492020
732.65,733,732.65,733,333375,1609492080
733,733,732.9,732.95,35885,1609492140
732.95,732.95,732.6,732.6,139872,1609492200
732.6,732.6,732.5,732.5,143526,1609492260
732.5,732.5,732.1,732.1,100720,1609492320
732.1,733.2,732.1,733.2,20232,1609492380
733.2,734,733.2,733.95,564712,1609492440
733.95,734,733.25,733.25,116041,1609492500
733.25,733.3,733.25,733.3,50320,1609492560
733.3,733.3,733.3,733.3,62753,1609492620
733.3,733.3,732.95,733,14723,1609492680
733,733,732.55,732.6,182237,1609492740
732.6,732.6,732.5,732.5,10744,1609492800
732.5,733.05,732.5,733.05,539124,1609492860
733.05,733.35,733.05,733.35,1579919,1609492920
733.35,733.65,733.3,733.65,281526,1609492980
